Ticker,Date,Time,Headline,neg,neu,pos,compound
NIO,Mar-12-21,01:45PM,Nasdaq Slips As Biden Stimulus Raises These Fears; Dow Rallies; Warren Buffett Stock Crumbles,0.177,0.823,0.0,-0.4215
NIO,Mar-12-21,01:05PM,Nio Seems Awfully Risky When Considering the Bigger Picture,0.207,0.793,0.0,-0.2716
NIO,Mar-12-21,11:39AM,Nasdaq Backtracks Dow Up Alibaba Hit Hard But These Growth Stocks Strengthen; Novavax Soars,0.081,0.636,0.283,0.5423
NIO,Mar-12-21,06:27AM,XPeng stock falls even as losses narrow and revenue rises amid broader weakness in EV stocks,0.282,0.718,0.0,-0.6705
NIO,Mar-11-21,04:03PM,EV Startup That Drew Apple Interest Takes On Tesla GM In Hot Pickup Market,0.0,0.812,0.188,0.4588
NIO,Mar-11-21,03:07PM,Tesla Nio stocks surge after Mizuho analyst said buy the EV leaders,0.0,1.0,0.0,0.0
NIO,Mar-11-21,02:01PM,Buy NIO Stock Because $60 Is Around the Corner Says Analyst,0.0,1.0,0.0,0.0
NIO,Mar-11-21,01:18PM,Dow Jones Hits Record High With Biden Set To Sign Covid Stimulus Bill; Roblox Stock Jumps,0.0,1.0,0.0,0.0
NIO,Mar-11-21,12:13PM,Tesla Stock Has Gotten Crushed. Wall Street Is  Quietly Getting More Optimistic.,0.182,0.65,0.168,-0.0534
NIO,Mar-11-21,10:49AM,Why NIO Stock Is Higher Today,0.0,1.0,0.0,0.0
NIO,Mar-11-21,09:40AM,Thinking About Buying Stock In ADT Nio Tesla Or Li Auto?,0.0,1.0,0.0,0.0
NIO,Mar-11-21,02:23AM,Beyond Tesla And Nio  Companies Exploit China's Mass EV Potential,0.135,0.865,0.0,-0.1027
NIO,Mar-10-21,04:10PM,Volkswagen Stock Jumps After CEO Teases 'Power Day',0.239,0.761,0.0,-0.296
NIO,Mar-10-21,12:15PM,Dow Surges To Record With Biden Stimulus Vote Due; Nasdaq Up As These Fears Ease; GE Dives,0.138,0.739,0.123,-0.0772
NIO,Mar-10-21,11:58AM,Volkswagen and Goldman Sachs-backed Northvolt snaps up Silicon Valleys Cuberg in EV battery race,0.0,1.0,0.0,0.0
NIO,Mar-10-21,11:40AM,EV Investors Got the Data They Wanted: Inflation Is in Check,0.0,1.0,0.0,0.0
NIO,Mar-10-21,08:16AM,Dow Jones Futures Rise But So Do Treasury Yields With Final Biden Stimulus Vote On Tap; Where To Look For Breakouts,0.0,0.906,0.094,0.2682
NIO,Mar-10-21,07:20AM,3 Overhyped Stocks I'm Avoiding in March,0.324,0.676,0.0,-0.34
NIO,Mar-10-21,06:02AM,Dow Jones Futures Rise With Final Biden Stimulus Vote On Tap; Where To Look For Breakouts,0.0,1.0,0.0,0.0
NIO,Mar-09-21,07:53PM,Tesla and Other EV Stocks Are Bouncing Back. That Doesnt Mean the Bubble Wont Pop.,0.0,1.0,0.0,0.0
NIO,Mar-09-21,07:32PM,Report: Electric Vehicle Peers NIO Xpeng and Li Auto Considering Hong Kong Stock Exchange Listing,0.0,1.0,0.0,0.0
NIO,Mar-09-21,04:10PM,EV Stocks Rebound As Tesla Rival Rivian Eyes This 'Huge Step',0.0,0.813,0.187,0.3182
NIO,Mar-09-21,04:07PM,Tesla Stock Jumps As China Sales Show Changing Market Dynamics,0.0,0.811,0.189,0.2732
NIO,Mar-09-21,04:00PM,Forget Nio and XPeng. This company and Tesla will be the top two electric-vehicle plays by 2025 says UBS.,0.088,0.737,0.175,0.2263
NIO,Mar-09-21,02:34PM,CarParts.com is in beginning stages of disrupting the auto parts industry: CEO,0.0,1.0,0.0,0.0
NIO,Mar-09-21,11:43AM,Why NIO Stock Is Higher Today,0.0,1.0,0.0,0.0
NIO,Mar-09-21,09:38AM,3 Reasons Tesla Stock Is Rising Today,0.0,1.0,0.0,0.0
NIO,Mar-09-21,06:51AM,Tesla Nio stocks bounce after upbeat China car sales data,0.0,1.0,0.0,0.0
NIO,Mar-09-21,05:46AM,Li Auto Nio Xpeng Jump as EV Firms Reportedly Seek Hong Kong Listing,0.0,1.0,0.0,0.0
NIO,Mar-09-21,03:12AM,Homebound? Chinese EV Makers Nio Xpeng Li Auto Mull Listings In Hong Kong: Reuters,0.0,1.0,0.0,0.0
NIO,Mar-08-21,04:03PM,Xpeng To Launch New Electric Vehicle Reports Mixed Q4,0.0,1.0,0.0,0.0
